url,label
http://192.168.110.106/google/login,1
http://cthf69h-hdfc-support.info/verify,1
http://2gnk3r8-apple-support.site/verify,1
http://192.168.175.169/hdfc/login,1
https://www.stackoverflow.com/kpanv/9oaku6tx/xatvtas,0
https://linkedin.com/cw5etr/1d2v/94pdq7o8u/j0g,0
http://192.168.222.208/sbi/login,1
https://www.irctc.co.in/9hr930,0
https://www.openai.com/yzq9a/7o0nce0,0
http://amazon-secure-b71ylg33s.online/login,1
http://192.168.135.145/apple/login,1
http://apple.login.ux17wvp.xyz/signin,1
http://www.google.com/zaukd5/g5g,0
https://verify-google-esqxprzs.support/account/update,1
https://www.linkedin.com/wn061m3x,0
https://www.amazon.in/0sdikd,0
http://192.168.119.180/hdfc/login,1
http://09ih33u-apple-support.top/verify,1
http://sbi-secure-blwmhq0.click/login,1
http://www.linkedin.com/ypde4ju/vj7kw8j698/unxgapfi9/qy1peks,0
https://www.sbi.co.in/xnqgwli678/r2h/atix7,0
https://verify-sbi-xuqf91g.support/account/update,1
https://openai.com/o00de15h8/yngpa29yao/3e0b58kr/0ls9tyb7rw,0
https://www.google.com/9jnrz1,0
http://bs4a1tp-icici-support.online/verify,1
https://apple.com/r9jv34v1p7/4tt969wb/c4l0sr,0
https://verify-sbi-q3e9yi.top/account/update,1
https://www.stackoverflow.com/cvlr5zz7/mkg08yuk,0
https://github.com/8ir9b2/3a73zn2m,0
http://apple.login.n7t8pj80n.online/signin,1
http://www.stackoverflow.com/nhf42rea6,0
https://microsoft.com/t8g/th2sdf7a/xyvwz/3sm4ky82f,0
https://www.wikipedia.org/2vapiv,0
http://192.168.180.209/paypal/login,1
https://www.amazon.in/0dc2s,0
https://www.openai.com/8dx8m/4yql8aa,0
http://8vlhw-netflix-support.site/verify,1
https://www.stackoverflow.com/j2cexa69/v9vub4v8/s430trbm4/8rxxl2,0
http://q0wusmn4-icici-support.ru/verify,1
http://www.openai.com/npm1b89/b643xtqh/ooi5bih/ggf,0
http://mr0vqxg-icici-support.top/verify,1
http://www.flipkart.com/mospjqj6by,0
https://irctc.co.in/dimb3bq/6ow752ra3,0
https://verify-icici-usb1n.click/account/update,1
https://www.linkedin.com/8uh/jxojg4kbo/tj6/dezwsa,0
http://apple-secure-onz1vq.support/login,1
https://www.amazon.in/5qy6/fv2xqwy/w1nf9r,0
http://192.168.90.112/hdfc/login,1
https://stackoverflow.com/k9nfjbprgj/bwojttfz/437/ink2lns2,0
https://microsoft.com/mtzqkjc/g89d2x,0
https://verify-google-no063umq.info/account/update,1
http://paypal-secure-zitta8lq.support/login,1
http://sbi-secure-4h5pjle.xyz/login,1
http://icici.login.yoanxw.ru/signin,1
http://instagram-secure-685l6ov.site/login,1
http://hdfc-secure-5057d1oom.top/login,1
https://www.irctc.co.in/q9w7yj1n/zlr1cm6y/mgxof/qy53k,0
http://192.168.236.114/google/login,1
http://www.irctc.co.in/c2autpe/8x5f/bjh,0
http://www.wikipedia.org/fcvqbp0728/nfx6yxe84,0
http://apple.login.2o0bd5.click/signin,1
https://verify-apple-3g4y7.online/account/update,1
https://linkedin.com/p8aa9r2l2/2tu0js1g/0kn6zo1/fcoc71,0
https://stackoverflow.com/rlk/h3qyk/ywxb4gux,0
https://verify-amazon-owt2i.click/account/update,1
https://verify-microsoft-cvq1o8i.online/account/update,1
https://github.com/kmjvkbe8/uvn/nr3dpt6,0
https://amazon.in/x7wpth/ewf7/fyasr5mk/mxux8nor,0
http://www.sbi.co.in/q2bu,0
https://youtube.com/ufm2uxb,0
http://5fcvnc8-google-support.support/verify,1
http://google.login.zcthwe2.online/signin,1
https://www.sbi.co.in/k5k3z/6ck/q2exo,0
http://www.microsoft.com/jvbo/xb1v0co7v/lrifc,0
https://github.com/lq52xszz2s/ylzrp5/lesi/fsvo88c,0
https://www.flipkart.com/2z2mz3tc/fq3ywjfn6w,0
https://stackoverflow.com/0ij3rkkuv/f7w,0
https://verify-microsoft-fpdfh48.top/account/update,1
https://verify-sbi-l70nsazlr.ru/account/update,1
http://www.apple.com/1ttnxd/p7lnx13kc/3sgw9pv/os091du,0
http://www.wikipedia.org/bbuux6p/mwu0dmjjjn/r19t/jlok63g,0
http://icici.login.77ggc86p.xyz/signin,1
http://chrow2en-instagram-support.ru/verify,1
https://openai.com/r63ft/8ol3/kuasotq/m0ncvt,0
https://verify-paypal-g03y.xyz/account/update,1
http://192.168.109.80/hdfc/login,1
http://192.168.250.98/microsoft/login,1
https://apple.com/tu0ej,0
